Time,Latitude,Longitude,Course,kts,mph,Altitude(m),Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt,TrajectoryId,FlightId,Origin,Destination
Mon 13:12:18,28.535,77.3449,160.0,292.0,336.0,2591.0,508.0, FlightAware ADS-B  (DEL / VIDP) ,19.0,149.33333333333334,2837.3333333333335,3.6979831235615275,OnGoing,IGO2009,VIDP,VABB
Mon 13:12:35,28.515,77.3475,187.0,295.0,339.0,2713.0,435.0, FlightAware ADS-B  (VIDX) ,17.0,150.66666666666666,2561.333333333333,2.7301135867845105,OnGoing,IGO2009,VIDP,VABB
Mon 13:12:59,28.4802,77.3358,199.0,311.0,358.0,2888.0,339.0, FlightAware ADS-B  (DEL / VIDP) ,24.0,159.11111111111111,3818.666666666667,2.6266430791050275,OnGoing,IGO2009,VIDP,VABB
Mon 13:13:29,28.4366,77.3202,197.0,339.0,390.0,3018.0,120.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,173.33333333333334,5200.0,1.4325437375665075,OnGoing,IGO2009,VIDP,VABB
Mon 13:14:19,28.3602,77.2936,198.0,364.0,419.0,3048.0,20.0, FlightAware ADS-B  (DEL / VIDP) ,50.0,186.22222222222223,9311.111111111111,0.1846048595956166,OnGoing,IGO2009,VIDP,VABB
Mon 13:14:36,28.336,77.2799,216.0,366.0,421.0,3040.0,0.0, FlightAware ADS-B  (VIDX) ,17.0,187.11111111111111,3180.888888888889,-0.14410019819507952,OnGoing,IGO2009,VIDP,VABB
Mon 13:14:58,28.3099,77.2467,233.0,363.0,418.0,3048.0,43.0, FlightAware ADS-B  (DEL / VIDP) ,22.0,185.77777777777777,4087.111111111111,0.1121492703120901,OnGoing,IGO2009,VIDP,VABB
Mon 13:15:29,28.2798,77.2017,233.0,360.0,414.0,3078.0,594.0, FlightAware ADS-B  (VIDX) ,31.0,184.0,5704.0,0.30134665323782134,OnGoing,IGO2009,VIDP,VABB
Mon 13:16:05,28.2416,77.1467,232.0,356.0,410.0,3711.0,942.0, FlightAware ADS-B  (DEL / VIDP) ,36.0,182.22222222222223,6560.0,5.537309185818915,OnGoing,IGO2009,VIDP,VABB
Mon 13:16:35,28.2124,77.105,232.0,360.0,414.0,4115.0,876.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,184.0,5520.0,4.197139490168431,OnGoing,IGO2009,VIDP,VABB
Mon 13:17:05,28.1815,77.061,232.0,358.0,412.0,4587.0,899.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,183.11111111111111,5493.333333333333,4.929064538929052,OnGoing,IGO2009,VIDP,VABB
Mon 13:17:35,28.1501,77.0165,231.0,366.0,421.0,5014.0,815.0, FlightAware ADS-B  (DEL / VIDP) ,30.0,187.11111111111111,5613.333333333333,4.362640286620076,OnGoing,IGO2009,VIDP,VABB
